CR_ID,Project_ID,CR_Category,Severity,Estimated_Effort_Hours,Actual_Effort_Hours,Schedule_Impact_Days,Resource_Impact_FTE,Root_Cause,Environment_Found
PRJ0043_CR05,PRJ0043,Scope,High,209,269,2,3.5,Compliance Change,UAT
PRJ0043_CR06,PRJ0043,Enhancement,Critical,489,495,2,0.7,Client Scope Change,DEV
PRJ0043_CR07,PRJ0043,Compliance,High,316,587,36,1.3,Production Defect,UAT
PRJ0044_CR01,PRJ0044,Scope,High,63,251,28,3.2,Production Defect,UAT
PRJ0044_CR02,PRJ0044,Defect,Medium,445,450,38,1.1,Compliance Change,DEV
PRJ0044_CR03,PRJ0044,Compliance,Medium,390,380,29,3.2,Requirement Gap,DEV
PRJ0044_CR04,PRJ0044,Enhancement,Critical,87,141,1,1.4,Compliance Change,PROD
PRJ0044_CR05,PRJ0044,Enhancement,Medium,330,128,11,2.6,Compliance Change,PROD
PRJ0044_CR06,PRJ0044,Scope,Low,67,523,42,1.1,Compliance Change,PROD
PRJ0044_CR07,PRJ0044,Scope,Critical,287,460,23,4.4,Compliance Change,UAT
PRJ0044_CR08,PRJ0044,Defect,Critical,424,420,22,3.2,Compliance Change,DEV
PRJ0044_CR09,PRJ0044,Enhancement,Medium,150,518,14,4.6,Requirement Gap,UAT
PRJ0044_CR10,PRJ0044,Enhancement,High,116,35,45,3.8,Requirement Gap,PROD
PRJ0044_CR11,PRJ0044,Scope,Low,212,700,13,3.6,Client Scope Change,UAT
PRJ0045_CR01,PRJ0045,Scope,Critical,496,440,39,3.5,Client Scope Change,PROD
PRJ0045_CR02,PRJ0045,Scope,Medium,347,536,28,0.5,Compliance Change,UAT
PRJ0045_CR03,PRJ0045,Defect,Low,421,643,32,2.8,Missed Dependency,PROD
PRJ0045_CR04,PRJ0045,Defect,Low,204,274,41,0.5,Missed Dependency,DEV
PRJ0045_CR05,PRJ0045,Compliance,Critical,200,434,25,3.1,Compliance Change,DEV
PRJ0045_CR06,PRJ0045,Scope,Low,301,321,35,4.6,Client Scope Change,UAT
PRJ0045_CR07,PRJ0045,Compliance,Medium,330,229,29,4.7,Compliance Change,DEV
PRJ0045_CR08,PRJ0045,Compliance,Medium,228,548,6,3.0,Compliance Change,UAT
PRJ0045_CR09,PRJ0045,Compliance,Low,431,555,16,4.4,Compliance Change,UAT
PRJ0045_CR10,PRJ0045,Enhancement,Critical,308,525,15,3.9,Production Defect,PROD
PRJ0045_CR11,PRJ0045,Enhancement,Low,266,149,16,0.8,Missed Dependency,PROD
PRJ0046_CR01,PRJ0046,Defect,High,223,257,36,1.1,Compliance Change,UAT
PRJ0046_CR02,PRJ0046,Enhancement,Low,277,385,25,4.4,Missed Dependency,UAT
PRJ0046_CR03,PRJ0046,Scope,Critical,181,38,0,3.5,Production Defect,PROD
PRJ0046_CR04,PRJ0046,Scope,High,205,657,16,1.3,Client Scope Change,DEV
PRJ0046_CR05,PRJ0046,Compliance,Critical,333,381,23,1.3,Production Defect,DEV
PRJ0046_CR06,PRJ0046,Enhancement,High,206,440,17,2.5,Compliance Change,DEV
PRJ0046_CR07,PRJ0046,Defect,Low,389,306,15,3.0,Production Defect,DEV
PRJ0046_CR08,PRJ0046,Defect,Medium,262,39,11,2.4,Missed Dependency,PROD
PRJ0046_CR09,PRJ0046,Compliance,Critical,173,286,35,4.4,Requirement Gap,UAT
PRJ0047_CR01,PRJ0047,Enhancement,Critical,105,218,1,1.1,Missed Dependency,PROD
PRJ0047_CR02,PRJ0047,Compliance,Low,127,200,25,1.0,Requirement Gap,UAT
PRJ0047_CR03,PRJ0047,Scope,Low,414,436,33,3.9,Requirement Gap,DEV
PRJ0047_CR04,PRJ0047,Compliance,Medium,63,700,24,1.9,Missed Dependency,PROD
PRJ0047_CR05,PRJ0047,Compliance,Critical,340,159,8,2.9,Missed Dependency,DEV
PRJ0047_CR06,PRJ0047,Scope,High,460,363,30,2.6,Compliance Change,UAT
PRJ0047_CR07,PRJ0047,Enhancement,Medium,377,582,11,3.2,Production Defect,PROD
PRJ0047_CR08,PRJ0047,Enhancement,High,485,385,30,2.9,Requirement Gap,UAT
PRJ0047_CR09,PRJ0047,Compliance,High,231,296,9,1.9,Requirement Gap,PROD
PRJ0047_CR10,PRJ0047,Defect,High,166,510,34,0.5,Production Defect,UAT
PRJ0047_CR11,PRJ0047,Compliance,Low,412,470,18,3.2,Requirement Gap,PROD
PRJ0048_CR01,PRJ0048,Scope,Medium,48,302,25,0.8,Production Defect,DEV
PRJ0048_CR02,PRJ0048,Defect,High,438,420,0,1.0,Missed Dependency,UAT
PRJ0048_CR03,PRJ0048,Enhancement,Medium,397,64,12,2.6,Requirement Gap,PROD
PRJ0048_CR04,PRJ0048,Defect,Critical,219,349,20,1.2,Requirement Gap,PROD
PRJ0048_CR05,PRJ0048,Scope,High,266,683,19,1.4,Requirement Gap,PROD
PRJ0048_CR06,PRJ0048,Defect,Low,140,678,27,2.0,Missed Dependency,UAT
PRJ0048_CR07,PRJ0048,Scope,Critical,424,278,0,4.9,Compliance Change,PROD
PRJ0049_CR01,PRJ0049,Defect,High,389,94,42,4.9,Production Defect,DEV
PRJ0049_CR02,PRJ0049,Enhancement,Medium,333,319,20,2.3,Client Scope Change,DEV
PRJ0049_CR03,PRJ0049,Scope,Low,42,162,11,4.4,Missed Dependency,DEV
PRJ0049_CR04,PRJ0049,Enhancement,Medium,70,62,36,3.4,Production Defect,PROD
PRJ0049_CR05,PRJ0049,Enhancement,High,45,405,14,3.2,Requirement Gap,DEV
PRJ0049_CR06,PRJ0049,Defect,Critical,495,111,29,4.1,Requirement Gap,UAT
PRJ0049_CR07,PRJ0049,Enhancement,High,426,89,39,1.7,Requirement Gap,PROD
PRJ0049_CR08,PRJ0049,Scope,High,59,251,33,0.9,Missed Dependency,PROD
PRJ0049_CR09,PRJ0049,Enhancement,Medium,118,568,42,1.6,Missed Dependency,PROD
PRJ0049_CR10,PRJ0049,Enhancement,Low,412,683,36,2.1,Production Defect,PROD
PRJ0049_CR11,PRJ0049,Enhancement,Low,105,214,35,2.3,Client Scope Change,PROD
PRJ0050_CR01,PRJ0050,Scope,High,425,524,11,2.7,Compliance Change,DEV
PRJ0050_CR02,PRJ0050,Compliance,Low,394,620,24,0.9,Requirement Gap,UAT
PRJ0050_CR03,PRJ0050,Compliance,Critical,233,153,14,3.9,Compliance Change,DEV
PRJ0050_CR04,PRJ0050,Enhancement,Low,176,566,2,1.9,Compliance Change,DEV
PRJ0050_CR05,PRJ0050,Compliance,Medium,98,81,43,3.8,Production Defect,UAT
PRJ0051_CR01,PRJ0051,Scope,Low,398,85,15,4.8,Missed Dependency,UAT
PRJ0051_CR02,PRJ0051,Scope,High,375,143,19,2.5,Requirement Gap,UAT
PRJ0051_CR03,PRJ0051,Defect,Medium,124,589,33,3.9,Compliance Change,UAT
PRJ0051_CR04,PRJ0051,Defect,Low,212,626,42,2.9,Client Scope Change,DEV
PRJ0052_CR01,PRJ0052,Defect,Medium,194,432,42,1.1,Production Defect,PROD
PRJ0052_CR02,PRJ0052,Defect,Critical,143,616,9,2.4,Client Scope Change,PROD
PRJ0052_CR03,PRJ0052,Compliance,Critical,297,164,13,3.4,Compliance Change,PROD
PRJ0052_CR04,PRJ0052,Defect,Medium,178,566,8,2.4,Missed Dependency,PROD
PRJ0052_CR05,PRJ0052,Defect,High,54,600,34,4.8,Requirement Gap,DEV
PRJ0052_CR06,PRJ0052,Compliance,Medium,392,60,20,4.5,Production Defect,UAT
PRJ0053_CR01,PRJ0053,Enhancement,Low,331,419,20,2.3,Compliance Change,PROD
PRJ0053_CR02,PRJ0053,Scope,Low,251,497,2,4.5,Missed Dependency,PROD
PRJ0053_CR03,PRJ0053,Enhancement,Low,305,426,33,3.9,Requirement Gap,DEV
PRJ0053_CR04,PRJ0053,Compliance,Critical,223,341,18,2.6,Production Defect,UAT
PRJ0053_CR05,PRJ0053,Scope,Medium,257,691,28,0.9,Compliance Change,DEV
PRJ0053_CR06,PRJ0053,Defect,Medium,221,453,20,2.5,Missed Dependency,UAT
PRJ0053_CR07,PRJ0053,Defect,Critical,66,286,20,3.6,Missed Dependency,PROD
PRJ0053_CR08,PRJ0053,Scope,Low,78,490,40,2.1,Compliance Change,PROD
PRJ0054_CR01,PRJ0054,Compliance,Low,45,141,26,5.0,Missed Dependency,PROD
PRJ0054_CR02,PRJ0054,Compliance,Medium,253,622,23,4.7,Requirement Gap,UAT
PRJ0054_CR03,PRJ0054,Compliance,High,479,418,4,3.9,Compliance Change,DEV
PRJ0054_CR04,PRJ0054,Compliance,Critical,88,154,44,4.4,Client Scope Change,PROD
PRJ0054_CR05,PRJ0054,Enhancement,Medium,376,244,39,0.8,Compliance Change,PROD
PRJ0054_CR06,PRJ0054,Scope,Critical,390,649,45,1.8,Compliance Change,UAT
PRJ0055_CR01,PRJ0055,Defect,Critical,476,579,21,2.6,Production Defect,PROD
PRJ0055_CR02,PRJ0055,Scope,High,309,353,35,2.9,Missed Dependency,PROD
PRJ0055_CR03,PRJ0055,Compliance,High,53,182,17,4.3,Client Scope Change,UAT
PRJ0055_CR04,PRJ0055,Defect,Critical,115,639,7,4.4,Client Scope Change,PROD
PRJ0055_CR05,PRJ0055,Compliance,Low,159,453,5,2.7,Missed Dependency,UAT
PRJ0055_CR06,PRJ0055,Enhancement,High,130,567,19,1.3,Client Scope Change,DEV
PRJ0055_CR07,PRJ0055,Defect,Low,247,548,1,4.1,Compliance Change,DEV
PRJ0055_CR08,PRJ0055,Defect,High,492,525,33,1.9,Client Scope Change,DEV
PRJ0055_CR09,PRJ0055,Scope,Medium,125,67,29,2.2,Compliance Change,DEV
PRJ0056_CR01,PRJ0056,Defect,Critical,335,394,19,2.0,Missed Dependency,PROD
PRJ0056_CR02,PRJ0056,Scope,Critical,310,164,5,4.2,Production Defect,DEV
PRJ0056_CR03,PRJ0056,Enhancement,High,370,689,45,3.9,Production Defect,DEV
PRJ0056_CR04,PRJ0056,Defect,Medium,460,661,16,4.6,Production Defect,DEV
PRJ0056_CR05,PRJ0056,Compliance,High,252,529,1,0.8,Requirement Gap,UAT
PRJ0056_CR06,PRJ0056,Enhancement,Critical,453,204,18,4.0,Compliance Change,PROD
PRJ0056_CR07,PRJ0056,Defect,Low,227,139,20,3.0,Requirement Gap,UAT
PRJ0056_CR08,PRJ0056,Enhancement,Critical,322,453,15,3.3,Compliance Change,DEV
PRJ0057_CR01,PRJ0057,Scope,Low,333,552,25,4.3,Client Scope Change,DEV
PRJ0057_CR02,PRJ0057,Compliance,Low,20,603,22,1.0,Client Scope Change,DEV
PRJ0057_CR03,PRJ0057,Defect,Critical,379,634,25,3.3,Production Defect,UAT
PRJ0057_CR04,PRJ0057,Enhancement,Critical,299,246,42,1.3,Missed Dependency,DEV
PRJ0057_CR05,PRJ0057,Enhancement,High,450,457,9,1.8,Missed Dependency,DEV
PRJ0057_CR06,PRJ0057,Scope,Low,351,46,9,3.7,Production Defect,PROD
PRJ0057_CR07,PRJ0057,Enhancement,Medium,63,170,41,4.1,Production Defect,PROD
PRJ0058_CR01,PRJ0058,Compliance,High,168,201,2,3.6,Compliance Change,PROD
PRJ0058_CR02,PRJ0058,Compliance,High,51,674,30,3.1,Compliance Change,DEV
PRJ0058_CR03,PRJ0058,Compliance,Low,166,526,5,1.1,Requirement Gap,UAT
PRJ0058_CR04,PRJ0058,Compliance,Medium,335,317,17,4.4,Requirement Gap,PROD
PRJ0058_CR05,PRJ0058,Scope,Medium,485,635,9,3.5,Client Scope Change,DEV
PRJ0058_CR06,PRJ0058,Compliance,Medium,268,215,33,4.4,Client Scope Change,DEV
PRJ0058_CR07,PRJ0058,Defect,Medium,448,537,26,4.0,Missed Dependency,PROD
PRJ0058_CR08,PRJ0058,Enhancement,Medium,127,621,22,0.7,Client Scope Change,DEV
PRJ0059_CR01,PRJ0059,Scope,Low,500,638,42,4.5,Missed Dependency,PROD
PRJ0059_CR02,PRJ0059,Scope,Low,64,649,8,2.2,Compliance Change,DEV
PRJ0060_CR01,PRJ0060,Enhancement,Critical,243,443,4,2.9,Requirement Gap,UAT
PRJ0060_CR02,PRJ0060,Enhancement,Low,310,578,22,2.0,Client Scope Change,UAT
PRJ0060_CR03,PRJ0060,Scope,Low,207,577,21,0.9,Production Defect,UAT
PRJ0060_CR04,PRJ0060,Defect,Medium,303,70,24,3.5,Client Scope Change,PROD
PRJ0060_CR05,PRJ0060,Enhancement,Low,342,397,31,0.9,Production Defect,PROD
PRJ0060_CR06,PRJ0060,Defect,Medium,38,227,1,3.7,Compliance Change,DEV
PRJ0060_CR07,PRJ0060,Enhancement,Critical,52,583,41,1.9,Compliance Change,UAT
PRJ0060_CR08,PRJ0060,Scope,Low,193,87,21,4.0,Requirement Gap,UAT
PRJ0060_CR09,PRJ0060,Scope,Medium,433,699,42,2.9,Compliance Change,DEV
PRJ0060_CR10,PRJ0060,Defect,Low,38,174,31,3.4,Production Defect,PROD
PRJ0061_CR01,PRJ0061,Defect,Low,381,697,37,4.5,Production Defect,PROD
PRJ0061_CR02,PRJ0061,Enhancement,Medium,125,176,40,1.7,Production Defect,UAT
PRJ0062_CR01,PRJ0062,Scope,High,136,130,15,3.8,Missed Dependency,UAT
PRJ0062_CR02,PRJ0062,Defect,Low,261,629,31,0.7,Production Defect,DEV
PRJ0062_CR03,PRJ0062,Defect,Critical,111,426,23,1.1,Missed Dependency,PROD
PRJ0062_CR04,PRJ0062,Compliance,High,123,373,8,0.6,Compliance Change,DEV
PRJ0062_CR05,PRJ0062,Compliance,Medium,76,506,29,2.4,Client Scope Change,DEV
PRJ0063_CR01,PRJ0063,Enhancement,Low,252,504,8,4.4,Production Defect,DEV
PRJ0063_CR02,PRJ0063,Compliance,Critical,380,678,0,4.4,Requirement Gap,UAT
PRJ0063_CR03,PRJ0063,Compliance,Low,171,466,17,3.6,Compliance Change,PROD
PRJ0063_CR04,PRJ0063,Defect,Low,337,373,3,2.8,Client Scope Change,DEV
PRJ0064_CR01,PRJ0064,Defect,Medium,286,672,1,1.8,Compliance Change,DEV
PRJ0064_CR02,PRJ0064,Enhancement,High,235,484,41,0.6,Missed Dependency,DEV
PRJ0064_CR03,PRJ0064,Scope,Medium,447,562,41,2.0,Compliance Change,UAT
PRJ0064_CR04,PRJ0064,Compliance,Critical,323,572,35,2.5,Client Scope Change,PROD
PRJ0064_CR05,PRJ0064,Defect,High,107,296,14,2.7,Client Scope Change,DEV
PRJ0064_CR06,PRJ0064,Defect,High,165,496,10,3.3,Missed Dependency,PROD
PRJ0064_CR07,PRJ0064,Compliance,Medium,109,187,10,1.6,Requirement Gap,UAT
PRJ0064_CR08,PRJ0064,Defect,Critical,153,408,11,1.4,Requirement Gap,PROD
PRJ0064_CR09,PRJ0064,Compliance,High,95,411,28,2.9,Missed Dependency,PROD
PRJ0065_CR01,PRJ0065,Compliance,Critical,210,42,18,2.1,Client Scope Change,UAT
PRJ0065_CR02,PRJ0065,Scope,Medium,392,484,26,4.1,Client Scope Change,DEV
PRJ0065_CR03,PRJ0065,Enhancement,Critical,91,631,38,0.9,Missed Dependency,UAT
PRJ0065_CR04,PRJ0065,Enhancement,High,53,634,24,0.9,Production Defect,PROD
PRJ0065_CR05,PRJ0065,Compliance,Critical,109,599,29,3.7,Missed Dependency,DEV
PRJ0065_CR06,PRJ0065,Defect,Critical,168,597,31,0.7,Client Scope Change,PROD
PRJ0065_CR07,PRJ0065,Compliance,Critical,306,504,14,0.6,Requirement Gap,DEV
PRJ0065_CR08,PRJ0065,Compliance,High,347,681,30,1.1,Client Scope Change,UAT
PRJ0066_CR01,PRJ0066,Compliance,Medium,26,170,33,1.8,Production Defect,UAT
PRJ0066_CR02,PRJ0066,Compliance,Medium,72,253,9,2.8,Missed Dependency,PROD
PRJ0066_CR03,PRJ0066,Scope,Critical,255,108,7,4.2,Requirement Gap,UAT
PRJ0066_CR04,PRJ0066,Compliance,High,373,401,8,4.2,Compliance Change,PROD
PRJ0066_CR05,PRJ0066,Compliance,Medium,383,341,1,3.9,Requirement Gap,DEV
PRJ0066_CR06,PRJ0066,Defect,Medium,372,262,19,1.1,Missed Dependency,DEV
PRJ0066_CR07,PRJ0066,Enhancement,Low,59,49,30,3.9,Requirement Gap,DEV
PRJ0066_CR08,PRJ0066,Scope,Low,426,555,37,0.8,Requirement Gap,UAT
PRJ0066_CR09,PRJ0066,Scope,Low,174,40,6,4.0,Compliance Change,DEV
PRJ0066_CR10,PRJ0066,Defect,Medium,363,389,1,0.9,Client Scope Change,PROD
PRJ0066_CR11,PRJ0066,Compliance,High,102,542,39,1.6,Compliance Change,DEV
PRJ0067_CR01,PRJ0067,Scope,Critical,364,137,25,2.5,Requirement Gap,DEV
PRJ0067_CR02,PRJ0067,Defect,Critical,225,634,6,3.8,Missed Dependency,DEV
PRJ0067_CR03,PRJ0067,Compliance,Medium,193,235,38,4.3,Production Defect,DEV
PRJ0067_CR04,PRJ0067,Defect,Critical,391,541,17,3.9,Compliance Change,PROD
PRJ0068_CR01,PRJ0068,Scope,Low,110,600,42,4.4,Client Scope Change,PROD
PRJ0068_CR02,PRJ0068,Defect,Critical,240,167,19,3.7,Production Defect,DEV
PRJ0068_CR03,PRJ0068,Enhancement,Critical,263,605,10,2.8,Production Defect,UAT
PRJ0068_CR04,PRJ0068,Enhancement,Critical,335,391,18,1.9,Requirement Gap,PROD
PRJ0068_CR05,PRJ0068,Scope,Medium,448,405,22,4.1,Compliance Change,DEV
PRJ0068_CR06,PRJ0068,Compliance,Critical,69,468,22,5.0,Production Defect,UAT
PRJ0068_CR07,PRJ0068,Scope,Medium,146,270,41,1.9,Requirement Gap,PROD
PRJ0068_CR08,PRJ0068,Scope,High,78,375,10,0.6,Client Scope Change,DEV
PRJ0068_CR09,PRJ0068,Enhancement,Critical,310,557,26,1.7,Production Defect,PROD
PRJ0069_CR01,PRJ0069,Scope,Medium,315,541,13,3.5,Production Defect,UAT
PRJ0069_CR02,PRJ0069,Enhancement,Low,287,235,23,2.6,Missed Dependency,DEV
PRJ0069_CR03,PRJ0069,Compliance,Critical,230,356,4,3.4,Production Defect,UAT
PRJ0069_CR04,PRJ0069,Compliance,Medium,151,645,15,2.3,Requirement Gap,DEV
PRJ0070_CR01,PRJ0070,Defect,Low,109,249,17,2.5,Client Scope Change,PROD
PRJ0070_CR02,PRJ0070,Scope,Critical,293,413,44,4.8,Client Scope Change,PROD
PRJ0070_CR03,PRJ0070,Enhancement,Critical,369,282,17,4.5,Missed Dependency,UAT
PRJ0070_CR04,PRJ0070,Enhancement,High,440,345,1,3.4,Compliance Change,DEV
PRJ0070_CR05,PRJ0070,Scope,Medium,149,595,24,1.9,Client Scope Change,PROD
PRJ0071_CR01,PRJ0071,Enhancement,High,251,519,8,1.7,Compliance Change,UAT
PRJ0071_CR02,PRJ0071,Compliance,Medium,63,454,23,1.3,Production Defect,PROD
PRJ0071_CR03,PRJ0071,Defect,Low,31,601,41,3.3,Missed Dependency,DEV
PRJ0071_CR04,PRJ0071,Enhancement,Medium,154,202,3,2.3,Production Defect,PROD
PRJ0071_CR05,PRJ0071,Compliance,Medium,65,406,10,4.8,Requirement Gap,DEV
PRJ0071_CR06,PRJ0071,Enhancement,Critical,443,536,7,1.5,Missed Dependency,DEV
PRJ0071_CR07,PRJ0071,Compliance,High,402,536,24,1.1,Missed Dependency,PROD
PRJ0071_CR08,PRJ0071,Defect,High,392,223,26,1.3,Missed Dependency,DEV
PRJ0071_CR09,PRJ0071,Compliance,High,140,662,28,4.6,Client Scope Change,PROD
PRJ0071_CR10,PRJ0071,Enhancement,Low,25,510,8,4.4,Production Defect,PROD
PRJ0071_CR11,PRJ0071,Defect,Critical,382,463,38,1.7,Requirement Gap,PROD
PRJ0072_CR01,PRJ0072,Scope,Medium,113,66,30,1.7,Production Defect,UAT
PRJ0072_CR02,PRJ0072,Scope,Critical,40,482,22,4.9,Compliance Change,UAT
PRJ0072_CR03,PRJ0072,Enhancement,Critical,77,181,7,2.1,Missed Dependency,UAT
PRJ0072_CR04,PRJ0072,Defect,Medium,403,550,17,3.0,Compliance Change,DEV
PRJ0073_CR01,PRJ0073,Scope,Medium,103,427,25,1.8,Missed Dependency,DEV
PRJ0073_CR02,PRJ0073,Compliance,Critical,430,472,19,4.6,Compliance Change,DEV
PRJ0073_CR03,PRJ0073,Compliance,Low,446,406,32,1.4,Production Defect,UAT
PRJ0074_CR01,PRJ0074,Scope,Critical,468,334,20,3.1,Production Defect,PROD
PRJ0074_CR02,PRJ0074,Enhancement,High,194,221,13,1.3,Compliance Change,UAT
PRJ0075_CR01,PRJ0075,Compliance,Low,72,675,45,2.4,Production Defect,UAT
PRJ0075_CR02,PRJ0075,Compliance,Low,269,439,31,2.8,Compliance Change,PROD
PRJ0076_CR01,PRJ0076,Enhancement,High,140,244,35,0.7,Requirement Gap,UAT
PRJ0076_CR02,PRJ0076,Compliance,High,366,192,11,4.2,Compliance Change,DEV
PRJ0076_CR03,PRJ0076,Scope,High,240,146,39,1.5,Compliance Change,DEV
PRJ0076_CR04,PRJ0076,Enhancement,High,194,393,2,4.0,Compliance Change,UAT
PRJ0076_CR05,PRJ0076,Defect,Low,381,81,28,4.1,Requirement Gap,DEV
PRJ0076_CR06,PRJ0076,Scope,Low,279,137,10,3.3,Missed Dependency,UAT
PRJ0076_CR07,PRJ0076,Defect,High,382,482,32,2.7,Requirement Gap,DEV
PRJ0076_CR08,PRJ0076,Compliance,High,439,171,7,4.3,Production Defect,UAT
PRJ0077_CR01,PRJ0077,Scope,High,480,570,39,4.6,Production Defect,UAT
PRJ0077_CR02,PRJ0077,Defect,Critical,377,383,41,2.3,Missed Dependency,UAT
PRJ0077_CR03,PRJ0077,Scope,Low,295,372,24,3.8,Missed Dependency,PROD
PRJ0077_CR04,PRJ0077,Compliance,Medium,67,553,35,1.9,Client Scope Change,PROD
PRJ0077_CR05,PRJ0077,Defect,Low,34,582,37,1.7,Client Scope Change,PROD
PRJ0077_CR06,PRJ0077,Enhancement,Low,394,91,23,1.7,Compliance Change,UAT
PRJ0077_CR07,PRJ0077,Scope,Low,407,696,7,2.5,Compliance Change,PROD
PRJ0078_CR01,PRJ0078,Scope,Medium,253,514,2,3.9,Compliance Change,UAT
PRJ0078_CR02,PRJ0078,Scope,Critical,76,153,23,3.1,Requirement Gap,PROD
PRJ0078_CR03,PRJ0078,Defect,Low,210,342,23,1.9,Production Defect,DEV
PRJ0078_CR04,PRJ0078,Defect,Medium,421,633,26,0.7,Client Scope Change,UAT
PRJ0078_CR05,PRJ0078,Defect,Medium,439,530,0,1.1,Client Scope Change,DEV
PRJ0078_CR06,PRJ0078,Scope,Critical,266,616,19,3.0,Client Scope Change,UAT
PRJ0078_CR07,PRJ0078,Enhancement,Medium,410,171,32,3.4,Production Defect,PROD
PRJ0078_CR08,PRJ0078,Enhancement,Medium,463,363,5,4.1,Compliance Change,UAT
PRJ0078_CR09,PRJ0078,Enhancement,Medium,480,434,21,2.9,Production Defect,PROD
PRJ0078_CR10,PRJ0078,Compliance,Low,463,199,45,0.6,Client Scope Change,PROD
PRJ0079_CR01,PRJ0079,Scope,Medium,142,641,37,1.6,Compliance Change,PROD
PRJ0079_CR02,PRJ0079,Enhancement,Low,157,92,20,2.6,Production Defect,DEV
PRJ0079_CR03,PRJ0079,Enhancement,Low,228,678,14,4.6,Requirement Gap,UAT
PRJ0080_CR01,PRJ0080,Compliance,High,345,297,45,2.5,Missed Dependency,PROD
PRJ0080_CR02,PRJ0080,Compliance,High,127,500,38,2.0,Missed Dependency,PROD
PRJ0080_CR03,PRJ0080,Scope,Critical,22,39,43,1.3,Compliance Change,PROD
PRJ0080_CR04,PRJ0080,Enhancement,Critical,295,113,41,3.4,Compliance Change,DEV
PRJ0080_CR05,PRJ0080,Enhancement,Low,200,415,38,2.1,Missed Dependency,PROD
PRJ0080_CR06,PRJ0080,Scope,Low,256,409,12,2.5,Missed Dependency,PROD
PRJ0080_CR07,PRJ0080,Scope,High,368,396,12,0.9,Compliance Change,PROD
PRJ0080_CR08,PRJ0080,Compliance,Medium,139,535,23,0.7,Production Defect,PROD
PRJ0080_CR09,PRJ0080,Defect,Low,120,683,25,1.0,Client Scope Change,PROD
PRJ0080_CR10,PRJ0080,Enhancement,Medium,302,228,42,3.8,Compliance Change,PROD
PRJ0080_CR11,PRJ0080,Defect,Low,321,161,4,1.1,Compliance Change,DEV
PRJ0081_CR01,PRJ0081,Defect,Low,262,274,21,4.2,Client Scope Change,PROD
PRJ0081_CR02,PRJ0081,Defect,Low,417,644,39,2.5,Requirement Gap,PROD
PRJ0081_CR03,PRJ0081,Enhancement,Low,63,92,2,2.2,Requirement Gap,DEV
PRJ0081_CR04,PRJ0081,Scope,Critical,48,338,39,3.3,Requirement Gap,DEV
PRJ0081_CR05,PRJ0081,Scope,Low,170,420,25,0.9,Production Defect,DEV
PRJ0081_CR06,PRJ0081,Scope,Critical,216,505,27,4.5,Compliance Change,DEV
PRJ0082_CR01,PRJ0082,Compliance,Medium,361,517,44,3.6,Production Defect,PROD
PRJ0082_CR02,PRJ0082,Compliance,High,335,336,26,2.0,Requirement Gap,UAT
PRJ0082_CR03,PRJ0082,Scope,Critical,132,33,40,1.5,Missed Dependency,UAT
PRJ0083_CR01,PRJ0083,Defect,Critical,375,413,20,3.2,Missed Dependency,DEV
PRJ0083_CR02,PRJ0083,Defect,High,424,182,20,1.6,Client Scope Change,DEV
PRJ0083_CR03,PRJ0083,Enhancement,Medium,392,113,30,4.1,Compliance Change,DEV
PRJ0083_CR04,PRJ0083,Defect,Critical,404,690,32,2.2,Compliance Change,UAT
PRJ0083_CR05,PRJ0083,Defect,High,384,412,33,3.6,Production Defect,UAT
PRJ0084_CR01,PRJ0084,Compliance,High,401,311,12,3.7,Missed Dependency,PROD
PRJ0084_CR02,PRJ0084,Compliance,Low,414,336,18,4.2,Production Defect,UAT
PRJ0084_CR03,PRJ0084,Scope,Critical,354,554,9,4.4,Missed Dependency,DEV
PRJ0084_CR04,PRJ0084,Defect,Critical,139,558,37,4.0,Production Defect,PROD
PRJ0084_CR05,PRJ0084,Enhancement,High,425,117,20,4.3,Production Defect,PROD
PRJ0084_CR06,PRJ0084,Enhancement,Medium,244,490,35,0.6,Missed Dependency,PROD
PRJ0084_CR07,PRJ0084,Defect,High,397,39,31,4.1,Client Scope Change,UAT
PRJ0085_CR01,PRJ0085,Enhancement,Critical,400,100,24,4.8,Missed Dependency,DEV
PRJ0085_CR02,PRJ0085,Defect,High,241,516,10,3.2,Client Scope Change,PROD
PRJ0085_CR03,PRJ0085,Defect,Critical,161,236,0,5.0,Production Defect,DEV
PRJ0085_CR04,PRJ0085,Enhancement,Medium,289,366,36,4.5,Production Defect,UAT
PRJ0086_CR01,PRJ0086,Scope,Low,148,147,45,4.6,Client Scope Change,PROD
PRJ0086_CR02,PRJ0086,Enhancement,Critical,256,99,5,3.0,Missed Dependency,PROD
PRJ0086_CR03,PRJ0086,Enhancement,Medium,261,315,10,1.3,Requirement Gap,PROD
PRJ0086_CR04,PRJ0086,Scope,Medium,170,157,34,3.8,Missed Dependency,DEV
PRJ0086_CR05,PRJ0086,Scope,High,98,481,22,1.3,Requirement Gap,PROD
PRJ0086_CR06,PRJ0086,Defect,Critical,376,78,40,4.2,Requirement Gap,UAT
PRJ0086_CR07,PRJ0086,Compliance,Critical,46,642,0,0.7,Production Defect,DEV
PRJ0086_CR08,PRJ0086,Defect,High,485,274,12,0.9,Production Defect,DEV
PRJ0087_CR01,PRJ0087,Compliance,Medium,345,355,42,2.7,Client Scope Change,DEV
PRJ0087_CR02,PRJ0087,Enhancement,Critical,281,685,14,2.8,Requirement Gap,DEV
